Вопрос;Ответ
Профессиональный опыт;"склад,работа склад,складской,опыт работа склад,складской учет,складской хозяйство,склад знание,складирование,желательный опыт работа склад,ведение складской,работа складской,опыт работа складской,работа склад знание,знание складской учет,склад быть,склад опыт,опыт работа,склад знание,ведение складской хозяйство,кладовщик склад,технология складской,работа кладовщик склад,опыт работа кладовщик склад,ведение складской учет,склад опыт работа,работа склад быть,учет складской,складской учет знание,организация складской,учет складской операция,опыт работа склад быть.,кладовщик,работа кладовщик,опыт работа кладовщик,должность кладовщик,работа должность кладовщик,опыт работа должность кладовщик,кладовщик мало,кладовщик знание.,учет,учет хранение,правило учет,учет знание,организация учет,учет опыт,учет ТМЦ,система складской учет,складской учет опыт,учетный,знание правило учет,ведение учет,учет складирование отпуск,правило учет хранение,учет складирование.,хранение,система хранение,адресный система хранение,адресный хранение,хранение ТМЦ,прием хранение,сохранность,правило хранение,условие прием хранение,правило хранение ТМЦ,склад адресный система хранение,знание правило хранение,хранение отпуск,хранение выдача,хранение знание,ТМЦ условие прием хранение,хранение складирование,складирование хранение,обеспечение сохранность,условие хранение,знание правило хранение ТМЦ.,ТМЦ,выдача ТМЦ,ТМЦ склад,ТМЦ опыт,ТМЦ знание,ТМЦ условие прием,ТМЦ условие,отпуск ТМЦ,ТМЦ опыт работа,отгрузка ТМЦ,движение ТМЦ.,прием,приемка,обязанность прием,условие прием,прием товар,приемка товар,обязанность приемка.,знание складской.,склад обязательный,опыт работа склад обязательный,работа склад обязательный.,охрана"
Личные качества;внимательность,качество внимательность,личный качество внимательность.,аккуратность,ответственность,ответственный,ответственность опыт,преимущество ответственность,качество ответственность,ответственный подход,ответственность готовность,ваш преимущество ответственность,быть ваш преимущество ответственность.,исполнительность.,пунктуальность.,внимательность ответственность,ответственность внимательность,ответственность пунктуальность,ответственность исполнительность,ответственность аккуратность,ответственность опыт работа,год ответственность,ответственность коммуникабельность,исполнительность ответственность,аккуратность ответственность,дисциплинированность ответственность,ответственность,внимательность умение,внимательность ответственность аккуратность.,коммуникабельность,коммуникабельность умение,коммуникабельность умение работать.,стрессоустойчивость.,дисциплинированность.,честность.,обучаемость,обучение,быстрый обучаемость
АПК;"1С,знание 1С,программа 1С,знание программа 1С,работа 1С,опыт работа 1С,1С опыт,пк знание 1С,1С опыт работа,1С8,пк 1С,пользователь пк знание,1С,год знание 1С,1С склад,1С 8,1С быть,1С знание,уверенный пользователь пк знание 1С,1С ответственность,1С торговля,1с,1С обязательно,знание 1С склад,1С умение,1С быть ваш,1С желательно,желательно знание 1С,1С торговля склад,пользователь пк 1С,программа 1С 8,Office 1С,работа программа 1С,год знание программа 1С,1С умение работать,пользователь 1С.,Excel,Word Excel,пк Excel,пользователь пк Excel,пк Word Excel,уверенный пользователь пк Excel,Excel Word,excel,пользователь пк Word Excel.,пк,пользователь пк,уверенный пользователь пк,знание пк,пк знание,пользователь пк знание,уверенный пользователь пк знание,владение пк год,уверенный пользователь пк,пк уровень,опытный пользователь пк,пк опыт,пк опыт работа,пользователь пк опыт,пользователь пк опыт работа,уверенный пользователь пк опыт работа,уверенный пользователь пк опыт,желательно уверенный пользователь пк,технический образование,желательно уверенный пользователь пк,образование желательно уверенный пользователь пк,уверенный пользователь пк хороший,пк желательно,пк хороший,пользователь пк хороший,работа пк,пк уровень пользователь,пк внимательность,знание пк уровень,знание пк уровень пользователь,пк желательно знание.,MS,MS Office,пк MS,пользователь пк MS,пк MS Office.,Word,пк Word,word,пользователь пк Word.,Office,Microsoft Office,Office знание"
Знание документирования;документ,документация,документооборот,складской документация,складской документооборот,знание складской документация,знание складской,документооборот,сопроводительный документ,первичный документация,работать документ,умение работать документ,оформление,сопроводительный документ,товарныйсопроводительный документ.,номенклатура,знание номенклатура
Профессиональные навыки;инвентаризация,проведение инвентаризация,инвентаризация знание,участие инвентаризация,опыт проведение инвентаризация.,отгрузка,погрузочноразгрузочный,погрузочноразгрузочный работа,отгрузка товар,нагрузка,погрузка,выгрузка,погрузка выгрузка,погрузоразгрузочный,грузчик
Физичиская подготовка;физический,готовность физический,физический нагрузка,готовность физический нагрузка
Навыки управления;"управление,право управление,опыт управление"
Владение техникой;погрузчик,электропогрузчик,автопогрузчик,управление погрузчик,право управление погрузчик
Гражданство ;гражданство,гражданство рф,рф,россия
Образование;образование,образование низко,образование опыт,образование опыт работа,образование средний,технический образование,образование низко средний,профессиональный образование,образование желательно,специальный образование,технический образование желательно,образование средний специальный,образование низко средний специальный,средний специальный образование,средний профессиональный образование,образование низко,среднеспециальный,профессиональный образование опыт,технический образование желательно уверенный пользователь,образование низкий,средний опыт работа,образование низкий средний опыт,образование низко среднийспециальный,образование знание
Знание утройства автомобиля;"автозапчасть,устройство автомобиль,знание устройство автомобиль,работа автозапчасть,опыт работа автозапчасть,склад автозапчасть,опыт работа,склад автозапчасть,работа склад автозапчасть"
Санитарная книжка;санитарный книжка
