,0,1
44,работа,351
96,опыт,332
22,опыт работа,305
31,склад,145
1922,ответственность,118
1417,внимательность,117
241,работа склад,102
49,опыт работа склад,100
1947,работать,82
1911,умение,75
100,готовность,71
768,образование,69
1581,аккуратность,61
1741,наличие,58
861,аналогичный,58
1529,знание,57
668,желательный,56
1991,быть,55
808,средний,53
1944,умение работать,53
1128,год,53
1379,1,52
1586,физический,48
875,работа аналогичный,46
895,опыт работа аналогичный,46
1661,исполнительность,43
1155,1 год,40
538,желательный опыт,40
863,должность,39
3546,желание,38
7937,команда,34
8446,пк,34
1479,навык,34
589,складской,33
1604,готовность физический,33
7966,преимущество,32
836,аналогичный должность,32
391,желательный опыт работа,31
1619,пользователь,30
840,опыт работа аналогичный должность,30
858,работа аналогичный должность,30
8295,желательно,29
8396,аккуратность внимательность,27
8539,уверенный,27
8415,внимательность умение,26
8385,работать команда,26
11477,требоваться,26
1463,комплектовщик,26
8390,умение работать команда,26
1899,гражданство,25
262,активный,25
9843,ваш,25
908,система,24
8420,возможность,24
1739,рф,23
1131,большой,23
9433,быть ваш,23
8445,обязательный,22
8890,образование средний,22
8413,внимательность умение работать,21
193,книжка,21
11786,желание работать,20
12167,хранение,20
203,близкий,20
798,специальный,20
2054,обязанность,20
1625,приветствоваться,20
14234,отсутствие,19
8382,аккуратность внимательность умение работать,19
1880,гражданство рф,19
7884,адресный,19
1539,опыт работа комплектовщик,19
1498,работа комплектовщик,19
8919,дисциплинированность,19
1926,обучаемость,19
3709,активность,19
11697,опыт работа требоваться,19
8412,аккуратность внимательность умение,19
2384,продукция,19
11465,работа требоваться,19
2530,сфера,19
1576,нагрузка,18
849,средний опыт,18
1201,ассортимент,18
1596,физический нагрузка,18
8565,уверенный пользователь,18
16312,владение,18
1593,готовность физический нагрузка,18
166,медицинский,18
8172,товар,17
854,средний опыт работа,17
2207,производство,17
1921,пунктуальность,17
8402,возможность приступать,17
116,время,17
8410,внимательность умение работать команда,17
8380,приступать,17
8400,возможность приступать работа,16
1282,комплектация,16
15718,склад быть,16
8425,приступать работа,16
21682,работа близкий,16
8389,аккуратность внимательность умение работать команда,16
8392,работать команда возможность приступать работа,15
842,низкий,15
792,средний специальный,15
8535,пользователь пк,15
27382,возможность приступать работа близкий,15
943,работа 1 год,15
8414,команда возможность,15
1407,работа 1,15
8384,умение работать команда возможность,15
8417,умение работать команда возможность приступать работа,15
8418,работать команда возможность приступать,15
8419,команда возможность приступать,15
256,кладовщик,15
8395,работать команда возможность,15
8407,команда возможность приступать работа,15
1337,опыт работа 1,15
1036,большой ассортимент,15
1597,монотонный,15
1049,опыт работа 1 год,15
8406,умение работать команда возможность приступать,15
27378,приступать работа близкий,15
27362,команда возможность приступать работа близкий,14
161,близкий время,14
27374,умение работать команда возможность приступать работа близкий,14
759,среднеспециальный,14
27345,работать команда возможность приступать работа близкий,14
8394,аккуратность внимательность умение работать команда возможность приступать,14
874,образование низкий,14
15045,работоспособность,14
8426,внимательность умение работать команда возможность приступать,14
8383,внимательность умение работать команда возможность,14
8422,аккуратность внимательность умение работать команда возможность приступать работа,14
7887,адресный система,14
7859,терминал,14
8404,внимательность умение работать команда возможность приступать работа,14
11975,ответственность внимательность,14
8399,аккуратность внимательность умение работать команда возможность,14
1151,класс,13
1233,ночной,13
898,низкий средний,13
353,интенсивный,13
1253,учет,13
7991,санитарный,13
27356,внимательность умение работать команда возможность приступать работа близкий,13
11426,исполнительность внимательность,13
1937,усидчивость,13
16365,навык владение,13
8174,являться,13
